Sample_ID,Tree,Treatment
O1-AG1-S190-L001,1,Andricus_Gall
O1-AG2-GPOS-S146-L001,1,Leaf_galled_by_Andricus
O1-AG2-S191-L001,1,Andricus_Gall
O1-AG3-GPOS-S147-L001,1,Leaf_galled_by_Andricus
O1-AG3-S192-L001,1,Andricus_Gall
O1-AG4-GPOS-S148-L001,1,Leaf_galled_by_Andricus
O1-AG4-S193-L001,1,Andricus_Gall
O1-AG5-GPOS-S149-L001,1,Leaf_galled_by_Andricus
O1-AG5-S194-L001,1,Andricus_Gall
O1-CQ1-GPOS-S175-L001,1,Leaf_galled_by_Cynips
O1-CQ1-S205-L001,1,Cynips_Gall
O1-CQ2-GPOS-S176-L001,1,Leaf_galled_by_Cynips
O1-CQ2-S206-L001,1,Cynips_Gall
O1-CQ3-GPOS-S177-L001,1,Leaf_galled_by_Cynips
O1-CQ3-S207-L001,1,Cynips_Gall
O1-CQ4-GPOS-S178-L001,1,Leaf_galled_by_Cynips
O1-CQ4-S208-L001,1,Cynips_Gall
O1-CQ5-GPOS-S179-L001,1,Leaf_galled_by_Cynips
O1-CQ5-S209-L001,1,Cynips_Gall
O1-G-1-S160-L001,1,Ungalled_leaf
O1-G-2-S161-L001,1,Ungalled_leaf
O1-G-3-S162-L001,1,Ungalled_leaf
O1-G-4-S163-L001,1,Ungalled_leaf
O1-G-5-S164-L001,1,Ungalled_leaf
O2-AG1-GPOS-S150-L001,2,Leaf_galled_by_Andricus
O2-AG1-S195-L001,2,Andricus_Gall
O2-AG2-GPOS-S151-L001,2,Leaf_galled_by_Andricus
O2-AG2-S196-L001,2,Andricus_Gall
O2-AG3-GPOS-S152-L001,2,Leaf_galled_by_Andricus
O2-AG3-S197-L001,2,Andricus_Gall
O2-AG4-GPOS-S153-L001,2,Leaf_galled_by_Andricus
O2-AG4-S198-L001,2,Andricus_Gall
O2-AG5-GPOS-S154-L001,2,Leaf_galled_by_Andricus
O2-AG5-S199-L001,2,Andricus_Gall
O2-CQ1-GPOS-S180-L001,2,Leaf_galled_by_Cynips
O2-CQ1-S210-L001,2,Cynips_Gall
O2-CQ2-GPOS-S181-L001,2,Leaf_galled_by_Cynips
O2-CQ2-S211-L001,2,Cynips_Gall
O2-CQ3-GPOS-S182-L001,2,Leaf_galled_by_Cynips
O2-CQ3-S212-L001,2,Cynips_Gall
O2-CQ4-GPOS-S183-L001,2,Leaf_galled_by_Cynips
O2-CQ4-S213-L001,2,Cynips_Gall
O2-CQ5-GPOS-S184-L001,2,Leaf_galled_by_Cynips
O2-CQ5-S214-L001,2,Cynips_Gall
O2-G-1-S165-L001,2,Ungalled_leaf
O2-G-2-S166-L001,2,Ungalled_leaf
O2-G-3-S167-L001,2,Ungalled_leaf
O2-G-4-S168-L001,2,Ungalled_leaf
O2-G-5-S169-L001,2,Ungalled_leaf
O3-AG1-GPOS-S155-L001,3,Leaf_galled_by_Andricus
O3-AG1-S200-L001,3,Andricus_Gall
O3-AG2-GPOS-S156-L001,3,Leaf_galled_by_Andricus
O3-AG2-S201-L001,3,Andricus_Gall
O3-AG3-GPOS-S157-L001,3,Leaf_galled_by_Andricus
O3-AG3-S202-L001,3,Andricus_Gall
O3-AG4-GPOS-S158-L001,3,Leaf_galled_by_Andricus
O3-AG4-S203-L001,3,Andricus_Gall
O3-AG5-S204-L001,3,Andricus_Gall
O3-CQ1-GPOS-S185-L001,3,Leaf_galled_by_Cynips
O3-CQ1-S215-L001,3,Cynips_Gall
O3-CQ2-GPOS-S186-L001,3,Leaf_galled_by_Cynips
O3-CQ2-S216-L001,3,Cynips_Gall
O3-CQ3-GPOS-S187-L001,3,Leaf_galled_by_Cynips
O3-CQ3-S217-L001,3,Cynips_Gall
O3-CQ4-GPOS-S188-L001,3,Leaf_galled_by_Cynips
O3-CQ4-S218-L001,3,Cynips_Gall
O3-CQ5-GPOS-S189-L001,3,Leaf_galled_by_Cynips
O3-CQ5-S219-L001,3,Cynips_Gall
O3-G-1-S170-L001,3,Ungalled_leaf
O3-G-2-S171-L001,3,Ungalled_leaf
O3-G-3-S172-L001,3,Ungalled_leaf
O3-G-4-S173-L001,3,Ungalled_leaf
O3-G-5-S174-L001,3,Ungalled_leaf
O1-AG1-GPOS-S145-L001,1,Leaf_galled_by_Andricus
