"","O1-AG1-GPOS-S145-L001","O1-AG1-S190-L001","O1-AG2-GPOS-S146-L001","O1-AG2-S191-L001","O1-AG3-GPOS-S147-L001","O1-AG3-S192-L001","O1-AG4-GPOS-S148-L001","O1-AG4-S193-L001","O1-AG5-GPOS-S149-L001","O1-AG5-S194-L001","O1-CQ1-GPOS-S175-L001","O1-CQ1-S205-L001","O1-CQ2-GPOS-S176-L001","O1-CQ2-S206-L001","O1-CQ3-GPOS-S177-L001","O1-CQ3-S207-L001","O1-CQ4-GPOS-S178-L001","O1-CQ4-S208-L001","O1-CQ5-GPOS-S179-L001","O1-CQ5-S209-L001","O1-G-1-S160-L001","O1-G-2-S161-L001","O1-G-3-S162-L001","O1-G-4-S163-L001","O2-AG1-GPOS-S150-L001","O2-AG1-S195-L001","O2-AG2-GPOS-S151-L001","O2-AG2-S196-L001","O2-AG3-GPOS-S152-L001","O2-AG3-S197-L001","O2-AG4-GPOS-S153-L001","O2-AG4-S198-L001","O2-AG5-GPOS-S154-L001","O2-AG5-S199-L001","O2-CQ1-GPOS-S180-L001","O2-CQ1-S210-L001","O2-CQ2-GPOS-S181-L001","O2-CQ2-S211-L001","O2-CQ3-GPOS-S182-L001","O2-CQ3-S212-L001","O2-CQ4-GPOS-S183-L001","O2-CQ4-S213-L001","O2-CQ5-GPOS-S184-L001","O2-CQ5-S214-L001","O2-G-1-S165-L001","O2-G-2-S166-L001","O2-G-3-S167-L001","O2-G-4-S168-L001","O2-G-5-S169-L001","O3-AG1-GPOS-S155-L001","O3-AG1-S200-L001","O3-AG2-GPOS-S156-L001","O3-AG2-S201-L001","O3-AG3-GPOS-S157-L001","O3-AG3-S202-L001","O3-AG4-GPOS-S158-L001","O3-AG4-S203-L001","O3-AG5-S204-L001","O3-CQ1-GPOS-S185-L001","O3-CQ1-S215-L001","O3-CQ2-GPOS-S186-L001","O3-CQ2-S216-L001","O3-CQ3-GPOS-S187-L001","O3-CQ3-S217-L001","O3-CQ4-GPOS-S188-L001","O3-CQ4-S218-L001","O3-CQ5-GPOS-S189-L001","O3-CQ5-S219-L001","O3-G-1-S170-L001","O3-G-2-S171-L001","O3-G-3-S172-L001","O3-G-4-S173-L001","O3-G-5-S174-L001"
"OTU1",0,0.419788970734621,0,0.0550802882038864,0.161100975648449,0.0281941618569115,0.127674258109041,0.101757316997711,0.296428571428571,0.0393845026561641,0.276611488708617,0,0.350846310088016,0,0.0295092838196286,0,0.124031007751938,0,0.16105368456152,0,0.216682511179184,0.163276231263383,0.159401532408366,0.125262025847141,0.138469779483975,0.0071833484789476,0.168117154811715,0.0323460639127046,0.238549618320611,0.0544088540614776,0.445395201129146,0.37620847883178,0.105107014197923,0.0137470542026709,0,0,0.50865034651244,0,0.643319599764567,0,0.609628008752735,0,0.402098259979529,0,0,0,0.100674428243096,0,0.568530614412405,0.407336206629252,0.10997796663519,0.505799049923815,0.241158958133509,0.458128445835196,0.219986279442031,0.534191529461968,0.272948822095857,0.577113653772501,0.107100953935622,0,0.178183803223942,0,0.202942589478741,0,0.297424308026992,0,0.113547746181547,0,0.422374557509693,0.129575450230804,0.264103473119632,0.233521404262941,0.394769214312457
"OTU2",0,0.342385028867211,0.0540730337078652,0.483872888588952,0.243700589619524,0.301277526332544,0,0.177557081863746,0.101488095238095,0.528027111192526,0.193186801140101,0,0.110088016249154,0,0.021684350132626,0,0.0307592923871994,0,0.139713237745915,0,0.105172353086159,0.0588865096359743,0.0496997307931249,0.0160405388162811,0.069458084099634,0,0.0955648535564853,0.260717069368667,0,0.0910853495980935,0.0460038814396613,0.383870595365213,0.0438652256834075,0.0740492583522018,0,0,0.0870519020790746,0,0.0137989667124452,0,0.0385667396061269,0,0.0687819856704197,0,0,0,0.0172186428544516,0,0.0559184323721523,0.223838020526495,0.501416430594901,0.0626871022676347,0.49575854208448,0.0633288630606467,0.569517493711411,0.137761815013691,0.428996944025376,0.293613558023746,0.124266693873387,0,0.291396399289277,0,0.0326567379293779,0,0.0697622844349635,0,0.216134773790306,0,0.0978254762038546,0.0247058058643781,0.183593884015873,0.170890799450713,0.116943894742472
"OTU3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU4",0.977161500815661,0.0519211626518017,0,0,0,0.018021010671428,0.309868875086266,0.119516119052039,0,0,0,0.000919117647058824,0.0696005416384563,0.919015299666398,0,0.985653560042508,0.0248956469886702,0.741361900162445,0,0.934807256235828,0,0,0,0,0.000624944201410588,0.059024622441473,0,0,0,0.0218120127640667,0.00798341566690191,0,0,0.0700291114088998,0.997821350762527,0.981673375010705,0,0.178912586362271,0,0.862331575864089,0,0.998953427524856,0,0.938450690037272,0,0.437954492141684,0.0135639199728722,0.0841584158415842,0,0,0,0,0,0,0.021324033844043,0,0.118370662643611,0,0,0.962511373976342,0,0.87375286444562,0,0.94302691366655,0,0.614990512333966,0,0.785470502194052,0,0,0,0,0
"OTU5",0,0,0.115168539325843,0.0296937337488339,0.0571375690753814,0.0211075585821257,0,0.0343728729657818,0.151785714285714,0.00796849239787507,0.0104417890813418,0,0.0794854434664861,0,0.0869363395225464,0,0.195587358378056,0.257672213197524,0.031677225741914,0,0.0390831308756734,0.0478916158787679,0.110788983226341,0.00740052131751153,0.149093830907955,0.0320654290536155,0.0649372384937238,0.0995713172252533,0.110687022900763,0.0714949307266632,0.014864149611856,0.0255836772387521,0.185420639966095,0.0183679127581905,0,0,0.0442738196140998,0,0,0,0.0430525164113786,0,0.0126919140225179,0,0,0,0.202667570927998,0,0.0298444055015666,0.0477194505596726,0.163424614416116,0.0305458456574348,0.00333835747829445,0.0166641831818408,0.00697461696775669,0.0264926567334021,0.00599589957835287,0,0.0187216242411876,0,0.0119666902147154,0,0.0105092481383618,0,0.0455366288954833,0.0675521821631879,0.0675855788732977,0,0.0640370099829559,0.197126324686301,0.0583351440366868,0.0994238461997731,0.0500080226774349
"OTU6",0,0.0116265180171212,0.0105337078651685,0.03761338599869,0.0240871473520002,0.00791706459604977,0,0.192562341439267,0,0.0133724125297674,0.0109351019513265,0,0.0607989167230873,0,0.103381962864721,0,0.0756310872589942,0,0.0456818939646549,0,0.0308087743389317,0.140051062427936,0.0934976185545662,0.676764914966916,0,0,0,0,0,0.0118350365553177,0,0,0,0,0,0,0.00363962706287082,0,0.0119024262638153,0,0.0316192560175055,0,0.00977482088024565,0,0,0.0818672296504809,0.049244565012622,0,0.0131166693218629,0.0096741186319804,0.0122127793515895,0.0626691763018733,0.00871959042838102,0.0196195301246709,0.00897553167162131,0.0318978699192774,0.00742717883254033,0,0.038080905983778,0,0.0637295827713913,0,0.0104972375690608,0,0.0552839175018217,0,0.0482221946272611,0,0.00749189938379128,0.00565632923737078,0.0334846700136089,0.0311212609708042,0.0249237845643686
"OTU7",0,0,0,0,0,0,0,0,0,0,0,0.998277974983097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859314107560405,0.101145038167939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252510208983906,0,0.188525022968963,0,0,0,0,0,0,0.0183294525046271,0.0111247793763705
"OTU8",0,0,0.510533707865168,0,0,0.00561945494055281,0,0.00371264154445888,0,0,0,0,0,0,0,0,0,0,0,0,0.000668990528502518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285255172585608,0,0,0,0,0,0.00380043870836097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU9",0.0065252854812398,0,0,0.00166729521049602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133798105700503,0.00531213968044803,0.0210188444812591,0.00523140300030987,0,0,0.0127196652719665,0,0,0,0.00370501058574453,0,0,0,0,0,0,0,0,0,0.0149890590809628,0,0.0109518935516888,0,0,0,0.160091933235372,0,0,0.0297355120771449,0,0.00315496997400735,0,0.00509114389311081,0,0.00444507663312116,0,0,0.00489720961077386,0,0.00695737803181127,0,0.0120345904395868,0,0.00680092509477997,0,0.281625895111553,0,0.00185424509748834,0.132111046095833,0.00698740894068136,0.039957609409517,0.0133176445419051
"OTU10",0,0,0.00842696629213483,0.00750282844723209,0.025990851643267,0.400711428531883,0,0.00770373120475218,0,0,0,0,0.0285714285714286,0,0,0,0.0566984694891672,0,0.075025008336112,0,0.0245765994155135,0.0137127326634821,0.055756885483537,0.00898634731412114,0.0326756539594679,0,0.110794979079498,0.0892439594699922,0,0.0408369350082805,0,0,0.0637847001483365,0.00607642900050829,0,0,0.0144587924415416,0,0,0,0.00508752735229759,0,0,0,0,0,0.021061753513432,0,0.0147097870532632,0.0134879538618958,0.00528800755429651,0.004642825132204,0,0.00926339840063577,0,0.00828562284413783,0,0,0.162067030556547,0,0.00721426583606277,0,0,0,0.0121022673270463,0,0.0196365743615216,0.0368925727287502,0.0792268359835927,0.104804629087836,0.0114245851583317,0.0398829780882441,0.0239610632721827
