"","Kingdom","Phylum","Class","Order","Family","Genus","Species","COMMENT.on.genus","primary_lifestyle","Secondary_lifestyle","Comment_on_lifestyle_template","Endophytic_interaction_capability_template","Plant_pathogenic_capacity_template","Decay_substrate_template","Decay_type_template","Aquatic_habitat_template","Animal_biotrophic_capacity_template","Specific_hosts","Growth_form_template","Fruitbody_type_template","Hymenium_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template","primary_photobiont","secondary_photobiont","Decay_type","Fruitbody_type","OTU_ID"
"OTU1","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Endoconidioma","Endoconidioma populi","","wood_saprotroph","","","no_endophytic_capacity","","wood","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU1"
"OTU2","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU2"
"OTU3","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae","Neognomoniopsis","Neognomoniopsis quercina",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU3"
"OTU4","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Cephaloascaceae","Cephaloascus","Cephaloascus fragrans","","wood_saprotroph","","mycoparasite_some_species","","","wood","soft_rot","non-aquatic","arthropod_parasite","","yeast","none","none","","","","","soft_rot","none","OTU4"
"OTU5","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU5"
"OTU6","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paracamarosporium","","","wood_saprotroph","","","no_endophytic_capacity","","wood","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU6"
"OTU7","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae","Gnomoniopsis","Gnomoniopsis paraclavulata","","foliar_endophyte","litter_saprotroph","","foliar_endophyte","","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU7"
"OTU8","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","Phaeomoniella","","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","non-aquatic","","","dimorphic_yeast","","","","","","","","","OTU8"
"OTU9","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU9"
"OTU10","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","","","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","soft_rot","perithecium_(hymenium_hidden,_narrow_opening)","OTU10"
"OTU11","Fungi","Ascomycota","Dothideomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU11"
"OTU12","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","Neocucurbitaria juglandicola","","unspecified_saprotroph","","","","","","","partly_marine_(partly_non-aquatic)","","","filamentous_mycelium","","","","","","","","","OTU12"
"OTU13","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe","Erysiphe epigena","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","non-aquatic","","","filamentous_mycelium","chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_","closed","","","","","","chasmothecium_(tiny_initially_closed_ascome_rupture_opening)_","OTU13"
"OTU14","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Pringsheimia","","","wood_saprotroph","","","no_endophytic_capacity","","wood","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU14"
"OTU15","Fungi","Ascomycota","Dothideomycetes","Neocelosporiales","Neocelosporiaceae","Neocelosporium","Neocelosporium eucalypti","","","","","","","","","non-aquatic","","Eucalyptus ","filamentous_mycelium","","","","","","","","","OTU15"
"OTU16","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU16"
"OTU17","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella","Tremella umbilicariae","","mycoparasite","","lichen_parasite_some_species","","","fungal_material","","non-aquatic","","","dimorphic_yeast","","","","","","","","","OTU17"
"OTU18","Fungi","Ascomycota","Dothideomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU18"
"OTU19","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU19"
"OTU20","Fungi","Ascomycota","Dothideomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU20"
"OTU21","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU21"
"OTU22","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Planistromellaceae","Ramimonilia","Ramimonilia apicalis","","unspecified_saprotroph","","","","","","","non-aquatic","","","filamentous_mycelium","","","","","","","","","OTU22"
"OTU23","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU23"
"OTU24","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU24"
"OTU25","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","","","unspecified_saprotroph","","","","","","","non-aquatic","","","dimorphic_yeast","","","","","","","","","OTU25"
"OTU26","Fungi","Basidiomycota","Tremellomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU26"
"OTU27","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","","","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","soft_rot","perithecium_(hymenium_hidden,_narrow_opening)","OTU27"
"OTU29","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU29"
"OTU30","Fungi","Basidiomycota","Tremellomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU30"
"OTU31","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","","","plant_pathogen","litter_saprotroph","mycoparasite_some_species","","leaf/fruit/seed_pathogen","leaf/fruit/seed,wood","soft_rot","partly_aquatic","","","filamentous_mycelium","","","","","","","soft_rot","","OTU31"
